foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q19872694,Michelle Donelan,Q9626,Conservative Party (UK),30994,Q30173038,General election 2019,1
,Q60339817,Helen Belcher,Q9624,Liberal Democrats (UK),19706,Q30173038,General election 2019,2
Q76364089,,Martha Anachury,Q9630,Labour Party (UK),6399,Q30173038,General election 2019,3
,Q19872694,Michelle Donelan,Q9626,Conservative Party (UK),31267,Q25052149,General election 2017,1
,Q60339817,Helen Belcher,Q9624,Liberal Democrats (UK),14637,Q25052149,General election 2017,2
,,Andy Newman,Q9630,Labour Party (UK),11236,Q25052149,General election 2017,3
,Q19872694,Michelle Donelan,Q9626,Conservative Party (UK),26354,Q3586935,General election 2015,1
,Q392493,Duncan Hames,Q9624,Liberal Democrats (UK),16278,Q3586935,General election 2015,2
,Q16976852,Julia Reid,Q10647,UK Independence Party,5884,Q3586935,General election 2015,3
,,Andy Newman,Q9630,Labour Party (UK),4561,Q3586935,General election 2015,4
,,Tina Johnston,Q9669,Green Party of England and Wales,2330,Q3586935,General election 2015,5
,Q392493,Duncan Hames,Q9624,Liberal Democrats (UK),23970,Q215622,General election 2010,1
,Q8001782,Wilfred Emmanuel-Jones,Q9626,Conservative Party (UK),21500,Q215622,General election 2010,2
,,Greg Lovell,Q9630,Labour Party (UK),3620,Q215622,General election 2010,3
,Q16976852,Julia Reid,Q10647,United Kingdom Independence Party,1783,Q215622,General election 2010,4
,,Michael Simpkins,Q161269,British National Party,641,Q215622,General election 2010,5
,Q768038,Samantha Fletcher,Q9669,Green Party of England and Wales,446,Q215622,General election 2010,6
,,John Maguire,Q2479228,English Democrats Party,307,Q215622,General election 2010,7
,,Richard Sexton,Q3402978,Christian Party (UK),118,Q215622,General election 2010,8
,Q7328015,Richard Needham,Q9626,Conservative Party (UK),29308,Q918450,General election 1979,1
,,Ronald EJ Banks,Q622441,Liberal Party (UK),24611,Q918450,General election 1979,2
,,Catherine LB Inchley,Q9630,Labour Party (UK),5146,Q918450,General election 1979,3
,,Bert Pettit,Q15980875,Ecology Party (UK),521,Q918450,General election 1979,4
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),22721,Q918508,General election October 1974,1
,,Ronald EJ Banks,Q622441,Liberal Party (UK),20972,Q918508,General election October 1974,2
,,J Whiles,Q9630,Labour Party (UK),9396,Q918508,General election October 1974,3
,,EJ John,,,278,Q918508,General election October 1974,4
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),24645,Q119524,General election February 1974,1
,,Ronald EJ Banks,Q622441,Liberal Party (UK),21553,Q119524,General election February 1974,2
,,J Whiles,Q9630,Labour Party (UK),9395,Q119524,General election February 1974,3
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),24371,Q918442,General election 1970,1
,Q6760033,Margaret Wingfield,Q622441,Liberal Party (UK),13833,Q918442,General election 1970,2
,,John Eddie,Q9630,Labour Party (UK),10807,Q918442,General election 1970,3
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),18275,Q918430,General election 1966,1
,,Christopher Walter Layton,Q622441,Liberal Party (UK),17581,Q918430,General election 1966,2
,Q138192,Giles Radice,Q9630,Labour Party (UK),10257,Q918430,General election 1966,3
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),18089,Q220208,General election 1964,1
,,Christopher Walter Layton,Q622441,Liberal Party (UK),16546,Q220208,General election 1964,2
,Q138192,Giles Radice,Q9630,Labour Party (UK),10086,Q220208,General election 1964,3
,Q5216450,Daniel Awdry,Q9626,Conservative Party (UK),13439,Q5101648,1962 Chippenham by-election,1
,,Christopher Walter Layton,Q622441,Liberal Party (UK),11851,Q5101648,1962 Chippenham by-election,2
,,Robert W Portus,Q9630,Labour Party (UK),10633,Q5101648,1962 Chippenham by-election,3
,,K Jerrome,Q327591,Independent politician,260,Q5101648,1962 Chippenham by-election,4
,,J Naylor,Q327591,Independent politician,237,Q5101648,1962 Chippenham by-election,5
,,M Smith,Q327591,Independent politician,88,Q5101648,1962 Chippenham by-election,6
,Q332914,David Eccles,Q9626,Conservative Party (UK),21696,Q918420,General election 1959,1
,,Robert W Portus,Q9630,Labour Party (UK),12911,Q918420,General election 1959,2
,,John C Hall,Q622441,Liberal Party (UK),7059,Q918420,General election 1959,3
,Q332914,David Eccles,Q9626,Conservative Party (UK),20847,Q918412,General election 1955,1
,,William J Smith,Q9630,Labour Party (UK),14152,Q918412,General election 1955,2
,,Arthur Rossi Braybrooke,Q622441,Liberal Party (UK),5298,Q918412,General election 1955,3
,Q332914,David Eccles,Q9626,Conservative Party (UK),22601,Q3722280,General election 1951,1
,,Dengar R Evans,Q9630,Labour Party (UK),17723,Q3722280,General election 1951,2
,Q332914,David Eccles,Q9626,Conservative Party (UK),17845,Q748667,General election 1950,1
,Q24566003,Geoffrey Drain,Q9630,Labour Party (UK),13748,Q748667,General election 1950,2
,,Wilfred Greville Collins,Q622441,Liberal Party (UK),8661,Q748667,General election 1950,3
,Q332914,David Eccles,Q9626,Conservative Party (UK),15889,Q918397,General election 1945,1
,,Andrew Tomlinson,Q9630,Labour Party (UK),11866,Q918397,General election 1945,2
,Q5294842,Donald Johnson,Q622441,Liberal Party (UK),9547,Q918397,General election 1945,3
,Q332914,David Eccles,Q9626,Conservative Party (UK),8310,Q5101647,1943 Chippenham by-election,1
,Q5294842,Donald Johnson,Q6016735,Independent Liberal,8115,Q5101647,1943 Chippenham by-election,2
,Q7925789,Victor Cazalet,Q9626,Conservative Party (UK),15370,Q918378,General election 1935,1
,Q16889272,Arthur Stanton,Q622441,Liberal Party (UK),9949,Q918378,General election 1935,2
,Q63197302,William Robert Robins,Q9630,Labour Party (UK),3527,Q918378,General election 1935,3
,Q7925789,Victor Cazalet,Q9626,Conservative Party (UK),17232,Q918375,General election 1931,1
,Q16005819,Seymour Howard,Q622441,Liberal Party (UK),10928,Q918375,General election 1931,2
,Q63197302,William Robert Robins,Q9630,Labour Party (UK),2194,Q918375,General election 1931,3
,Q7925789,Victor Cazalet,Q9626,Unionist Party (UK),13550,Q517639,General election 1929,1
,Q16009930,Felix Brunner,Q622441,Liberal Party (UK),11819,Q517639,General election 1929,2
,Q63197302,William Robert Robins,Q9630,Labour Party (UK),3717,Q517639,General election 1929,3
,Q7925789,Victor Cazalet,Q9626,Unionist Party (UK),13227,Q2632991,General election 1924,1
,Q4722347,Alfred Bonwick,Q622441,Liberal Party (UK),11015,Q2632991,General election 1924,2
,Q4722347,Alfred Bonwick,Q622441,Liberal Party (UK),11953,Q3084294,General election 1923,1
,Q7925789,Victor Cazalet,Q9626,Unionist Party (UK),11156,Q3084294,General election 1923,2
,Q4722347,Alfred Bonwick,Q622441,Liberal Party (UK),10494,Q3084303,General election 1922,1
,Q5545122,George Terrell,Q9626,Unionist Party (UK),10006,Q3084303,General election 1922,2
,,William Robert Roberts,Q9630,Labour Party (UK),1098,Q3084303,General election 1922,3
,Q5545122,George Terrell,Q9626,Unionist Party (UK),8786,Q3042701,General election 1918,1
,Q7525911,Albert Bennett,Q622441,Liberal Party (UK),4839,Q3042701,General election 1918,2
,,Reuben George,Q9630,Labour Party (UK),2939,Q3042701,General election 1918,3
,Q5545122,George Terrell,Q9626,Conservative Party (UK),4141,Q3076583,General election December 1910,1
,,Bryan Freeman,Q622441,Liberal Party (UK),4117,Q3076583,General election December 1910,2
,Q5545122,George Terrell,Q9626,Conservative Party (UK),4408,Q3075752,General election January 1910,1
,Q5055953,Cecil Beck,Q622441,Liberal Party (UK),4120,Q3075752,General election January 1910,2
,Q6229408,John Dickson-Poynder,Q622441,Liberal Party (UK),4937,Q3076606,General election 1906,1
,,J. R. Randolph,Q9626,Conservative Party (UK),2971,Q3076606,General election 1906,2
,Q6229408,John Dickson-Poynder,Q9626,Conservative Party (UK),3863,Q918358,General election 1900,1
,,J. Thornton,Q622441,Liberal Party (UK),3278,Q918358,General election 1900,2
,Q6229408,John Dickson-Poynder,Q9626,Conservative Party (UK),3898,Q7888019,General election 1895,1
,,J. Thornton,Q622441,Liberal Party (UK),3390,Q7888019,General election 1895,2
,Q6229408,John Dickson-Poynder,Q9626,Conservative Party (UK),3684,Q7888018,General election 1892,1
,Q7527785,John Fuller,Q622441,Liberal Party (UK),3455,Q7888018,General election 1892,2
,Q13529854,Henry Brudenell-Bruce,Q9626,Conservative Party (UK),3657,Q7888016,General election 1886,1
,Q4855796,Banister Fletcher,Q622441,Liberal Party (UK),3120,Q7888016,General election 1886,2
,Q4855796,Banister Fletcher,Q622441,Liberal Party (UK),3880,Q3397257,General election 1885,1
,Q2737983,Arthur Somerset,Q9626,Conservative Party (UK),3574,Q3397257,General election 1885,2
,Q7526802,Gabriel Goldney,Q9626,Conservative Party (UK),478,Q2074515,General election 1880,1
,,Samuel Butler,Q622441,Liberal Party (UK),455,Q2074515,General election 1880,2
,Q7526802,Gabriel Goldney,Q9626,Conservative Party (UK),530,Q918351,General election 1874,1
,Q5647365,Handel Cossham,Q622441,Liberal Party (UK),304,Q918351,General election 1874,2
,Q7526802,Gabriel Goldney,Q9626,Conservative Party (UK),418,Q2074525,General election 1868,1
,,George Young,Q622441,Liberal Party (UK),359,Q2074525,General election 1868,2
,Q7527964,John Neeld,Q9626,Conservative Party (UK),208,Q2074533,General election 1865,1
,Q7526802,Gabriel Goldney,Q9626,Conservative Party (UK),201,Q2074533,General election 1865,2
,Q8013644,William John Lysley,Q622441,Liberal Party (UK),172,Q2074533,General election 1865,3
,Q5721867,Henry George Boldero,Q9626,Conservative Party (UK),174,Q4345446,General election 1857,1
,Q7348754,Robert Parry Nisbet,Q9626,Conservative Party (UK),150,Q4345446,General election 1857,2
,Q8013644,William John Lysley,Q108700,Whigs (British political party),132,Q4345446,General election 1857,3
,Q6285775,Joseph Neeld,Q9626,Conservative Party (UK),165,Q2073185,General election 1841,1
,Q5721867,Henry George Boldero,Q9626,Conservative Party (UK),128,Q2073185,General election 1841,2
,Q8013644,William John Lysley,Q108700,Whigs (British political party),96,Q2073185,General election 1841,3
,Q6285775,Joseph Neeld,Q499956,Tories (British political party),139,Q1582019,General election 1832,1
,Q299565,Henry Fox Talbot,Q108700,Whigs (British political party),132,Q1582019,General election 1832,2
,,John Thomas Mayne,Q108700,Whigs (British political party),40,Q1582019,General election 1832,3
,Q6285775,Joseph Neeld,Q499956,Tories (British political party),96,Q1188713,General election 1831,1
,Q5721867,Henry George Boldero,Q499956,Tories (British political party),60,Q1188713,General election 1831,2
,Q299565,Henry Fox Talbot,Q108700,Whigs (British political party),39,Q1188713,General election 1831,3
,Q6285775,Joseph Neeld,Q499956,Tories (British political party),76,Q969827,General election 1830,1
,Q7184243,Philip Pusey,Q499956,Tories (British political party),58,Q969827,General election 1830,2
,,John George Henry Pownall,,,18,Q969827,General election 1830,3
